Date,Shift,Department,Machine_ID,Machine_Name,Rated_power_kW,Hours_Operated,Energy_kWh,Power_Factor,Voltage,Cost_Per_Unit,Energy_Cost,Status
10-05-2026,Morning,CNC,M005,Compressor-1,15,4,60,0.94,419,8,480,Normal
30-05-2026,Morning,Utilities,M010,Milling-2,27,5,135,0.97,411,8,1080,Normal
29-05-2026,Night,Utilities,M009,Milling-1,25,4,100,0.93,415,8,800,Normal
25-05-2026,Morning,Maintenance,M018,Cooling-4,11,10,110,0.87,409,8,880,Warning
22-05-2026,Night,CNC,M003,Lathe-1,15,5,72,0.93,415,8,576,Normal
06-05-2026,Morning,CNC,M004,Lathe-2,18,4,68,0.97,412,8,544,Normal
25-05-2026,Morning,CNC,M014,Lathe-4,20,9,167,0.95,415,8,1336,Normal
14-05-2026,Night,Manufacturing,M001,Boiler-1,22,8,176,0.92,417,8,1408,Normal
23-05-2026,Morning,Maintenance,M008,Cooling-2,9,10,90,0.89,409,8,720,Warning
19-05-2026,Afternoon,CNC,M015,Compressor-3,16,4,64,0.94,415,8,512,Normal
08-05-2026,Night,Testing,M016,Compressor-4,18,4,72,0.93,414,8,576,Normal
02-05-2026,Night,Utilities,M019,Milling-3,26,6,182,0.92,411,8,1456,Normal
08-05-2026,Morning,Testing,M006,Compressor-2,17,11,187,0.93,417,8,1496,Normal
13-05-2026,Night,Testing,M016,Compressor-4,18,4,72,0.92,415,8,576,Normal
03-05-2026,Afternoon,Testing,M007,Cooling-1,8,11,88,0.96,419,8,704,Normal
20-05-2026,Night,Manufacturing,M011,Boiler-3,21,9,189,0.94,419,8,1512,Normal
09-05-2026,Morning,Testing,M006,Compressor-2,17,8,136,0.94,418,8,1088,Normal
12-05-2026,Night,Utilities,M009,Milling-1,25,8,196,0.93,410,8,2400,Normal
05-05-2026,Afternoon,Maintenance,M018,Cooling-4,11,11,121,0.86,405,8,968,Warning
22-05-2026,Morning,CNC,M003,Lathe-1,15,6,88,0.98,418,8,704,Normal
11-05-2026,Night,Manufacturing,M001,Boiler-1,22,9,198,0.96,410,8,1584,Normal
25-05-2026,Morning,Utilities,M010,Milling-2,27,7,213,0.86,401,8,2376,Warning
19-05-2026,Afternoon,Manufacturing,M012,Boiler-4,23,6,138,0.94,418,8,1104,Normal
11-05-2026,Night,CNC,M013,Lathe-3,16,5,78,0.82,388,8,624,Critical
17-05-2026,Morning,CNC,M013,Lathe-3,16,5,80,0.97,414,8,640,Normal
17-05-2026,Afternoon,CNC,M003,Lathe-1,15,6,90,0.98,415,8,720,Normal
13-05-2026,Morning,Manufacturing,M002,Boiler-2,24,8,192,0.97,414,8,1536,Normal
